Date,Open,High,Low,Close,Volume,ChangePct
1993-02-01,43.97,45.12,42.81,44.41,5420000.0,0.010700000000000001
1993-03-01,44.56,45.84,44.22,45.19,3020000.0,0.0176
1993-04-01,45.25,45.25,43.28,44.03,2700000.0,-0.025699999999999997
1993-05-01,44.09,45.66,43.84,45.22,1810000.0,0.027000000000000003
1993-06-01,45.38,45.81,44.22,45.06,3440000.0,-0.0034999999999999996
1993-07-01,45.12,45.22,44.16,44.84,6120000.0,-0.0049
1993-08-01,44.91,46.56,44.84,46.56,5440000.0,0.0384
1993-09-01,46.41,46.59,44.81,45.94,4370000.0,-0.013300000000000001
1993-10-01,45.88,47.16,45.72,46.84,6970000.0,0.0196
1993-11-01,46.78,47.0,45.53,46.34,5360000.0,-0.010700000000000001
1993-12-01,46.59,47.16,46.38,46.59,6130000.0,0.0054
1994-01-01,46.59,48.31,46.41,48.22,6840000.0,0.035
1994-02-01,48.16,48.28,46.56,46.81,10970000.0,-0.0292
1994-03-01,46.81,47.31,43.53,44.59,14710000.0,-0.047400000000000005
1994-04-01,43.34,45.36,43.34,45.09,11430000.0,0.011200000000000002
1994-05-01,45.09,45.94,44.17,45.81,8550000.0,0.016
1994-06-01,45.7,46.56,44.0,44.47,10350000.0,-0.029300000000000003
1994-07-01,44.69,46.05,44.38,45.91,5450000.0,0.032400000000000005
1994-08-01,45.94,47.98,45.66,47.66,7950000.0,0.0381
1994-09-01,47.5,47.72,45.73,46.17,6310000.0,-0.0313
1994-10-01,46.2,47.7,45.0,47.48,5440000.0,0.028399999999999998
1994-11-01,47.28,47.33,44.61,45.59,4810000.0,-0.0398
1994-12-01,45.64,46.41,44.69,45.56,8570000.0,-0.0007000000000000001
1995-01-01,45.7,47.23,45.69,47.09,2770000.0,0.0336
1995-02-01,47.16,49.16,47.0,49.02,5950000.0,0.040999999999999995
1995-03-01,48.97,50.89,46.77,50.11,4540000.0,0.0222
1995-04-01,50.09,51.67,50.06,51.59,4400000.0,0.029500000000000002
1995-05-01,51.55,53.64,51.39,53.64,6990000.0,0.0397
1995-06-01,53.41,55.16,52.75,54.41,5790000.0,0.0144
1995-07-01,54.47,56.7,54.2,56.16,5510000.0,0.0322
1995-08-01,56.23,56.8,55.42,56.41,8100000.0,0.0045000000000000005
1995-09-01,56.39,58.91,56.34,58.48,7430000.0,0.036699999999999997
1995-10-01,58.48,59.19,57.27,58.31,8940000.0,-0.0029
1995-11-01,58.28,61.2,58.23,60.91,8840000.0,0.0446
1995-12-01,60.98,62.8,60.58,61.48,9820000.0,0.009399999999999999
1996-01-01,61.41,63.69,59.64,63.67,10660000.0,0.0356
1996-02-01,63.61,66.69,63.44,63.88,14850000.0,0.0033
1996-03-01,64.64,66.0,62.0,64.69,19020000.0,0.0127
1996-04-01,65.0,65.81,62.12,65.39,15000000.0,0.0108
1996-05-01,65.38,68.44,63.08,66.88,17450000.0,0.022799999999999997
1996-06-01,66.89,68.5,66.16,67.11,16870000.0,0.0034000000000000002
1996-07-01,67.28,67.7,60.38,64.09,28830000.0,-0.045
1996-08-01,64.16,67.34,64.06,65.33,15590000.0,0.019299999999999998
1996-09-01,64.47,69.25,64.38,68.62,17220000.0,0.0504
1996-10-01,68.7,71.62,68.44,70.84,14790000.0,0.032400000000000005
1996-11-01,70.98,76.69,70.27,76.02,24090000.0,0.0731
1996-12-01,75.92,76.58,71.88,73.84,34950000.0,-0.0287
1997-01-01,74.38,79.69,72.75,78.41,43620000.0,0.061900000000000004
1997-02-01,78.72,82.0,77.12,79.16,30030000.0,0.0096
1997-03-01,78.75,81.8,75.25,75.25,37510000.0,-0.049400000000000006
1997-04-01,75.25,80.69,73.31,80.09,57680000.0,0.0643
1997-05-01,80.22,85.56,79.31,85.16,37470000.0,0.0633
1997-06-01,85.34,90.5,84.08,88.31,47330000.0,0.037000000000000005
1997-07-01,88.5,96.03,88.39,95.31,65360000.0,0.0793
1997-08-01,95.5,96.62,89.34,90.38,98210000.0,-0.051699999999999996
1997-09-01,90.69,96.38,90.25,94.38,78640000.0,0.0443
1997-10-01,95.25,98.5,84.38,92.06,137490000.0,-0.0246
1997-11-01,93.19,96.81,90.09,95.62,93160000.0,0.0387
1997-12-01,96.22,99.0,92.38,97.06,79160000.0,0.0151
1998-01-01,97.31,99.56,90.91,98.31,104580000.0,0.0129
1998-02-01,99.91,105.53,99.72,105.12,69740000.0,0.0693
1998-03-01,105.25,111.53,103.16,109.94,87320000.0,0.045899999999999996
1998-04-01,110.31,113.44,107.62,111.34,118630000.0,0.0127
1998-05-01,111.75,113.31,107.58,109.03,116260000.0,-0.0207
1998-06-01,108.97,114.69,107.5,113.31,141990000.0,0.0393
1998-07-01,114.06,119.23,111.31,111.78,155280000.0,-0.013500000000000002
1998-08-01,111.78,112.42,95.0,96.0,268540000.0,-0.1412
1998-09-01,96.06,107.0,93.62,101.75,269370000.0,0.0599
1998-10-01,100.03,110.91,92.22,110.0,249150000.0,0.08109999999999999
1998-11-01,110.81,119.72,110.19,116.12,136370000.0,0.0556
1998-12-01,116.12,124.75,113.75,123.31,156030000.0,0.061900000000000004
1999-01-01,123.38,128.5,120.38,127.66,141420000.0,0.0353
1999-02-01,128.69,128.84,121.33,123.56,164620000.0,-0.0321
1999-03-01,123.66,132.62,121.78,128.38,148200000.0,0.039
1999-04-01,129.69,137.5,128.12,133.25,156760000.0,0.0379
1999-05-01,133.44,138.0,128.0,130.2,182570000.0,-0.0229
1999-06-01,130.12,137.5,128.02,137.0,160690000.0,0.052199999999999996
1999-07-01,137.0,142.25,132.56,132.75,115630000.0,-0.031
1999-08-01,132.75,138.78,127.0,132.06,142930000.0,-0.0052
1999-09-01,132.94,136.62,125.56,128.75,167970000.0,-0.025099999999999997
1999-10-01,127.94,137.69,123.44,137.0,196830000.0,0.0641
1999-11-01,136.5,143.0,134.59,139.28,125040000.0,0.0166
1999-12-01,139.31,147.56,139.0,146.88,121530000.0,0.0546
2000-01-01,148.25,148.25,135.0,139.56,156770000.0,-0.049800000000000004
2000-02-01,139.75,144.56,132.72,137.44,186940000.0,-0.0152
2000-03-01,137.62,155.75,135.03,150.38,247590000.0,0.0942
2000-04-01,150.12,153.11,133.5,145.09,230560000.0,-0.0352
2000-05-01,146.56,148.48,136.5,142.81,161030000.0,-0.015700000000000002
2000-06-01,143.69,149.16,143.0,145.28,126950000.0,0.0173
2000-07-01,145.44,151.98,141.52,143.0,106780000.0,-0.015700000000000002
2000-08-01,143.62,153.09,142.62,152.34,102370000.0,0.0653
2000-09-01,153.25,153.59,142.12,143.62,113200000.0,-0.0572
2000-10-01,144.28,145.75,130.16,142.95,178410000.0,-0.004699999999999999
2000-11-01,142.25,144.3,129.75,132.28,156700000.0,-0.0746
2000-12-01,133.19,139.56,125.53,131.19,165520000.0,-0.008199999999999999
2001-01-01,132.0,138.7,127.56,137.02,181340000.0,0.0444
2001-02-01,137.1,137.99,121.8,123.95,178610000.0,-0.09539999999999998
2001-03-01,124.05,127.75,108.04,116.69,318200000.0,-0.058600000000000006
2001-04-01,116.3,127.27,109.3,124.91,252000000.0,0.0704
2001-05-01,125.07,132.09,123.44,125.95,208070000.0,0.0083
2001-06-01,126.2,129.23,120.4,122.6,203610000.0,-0.026600000000000002
2001-07-01,122.8,124.32,116.75,121.35,196990000.0,-0.0102
2001-08-01,121.97,123.25,112.04,114.15,269620000.0,-0.0593
2001-09-01,113.85,116.17,93.8,104.44,419270000.0,-0.0851
2001-10-01,103.9,111.79,102.83,105.8,512890000.0,0.013000000000000001
2001-11-01,106.6,116.9,105.7,114.05,374030000.0,0.078
2001-12-01,113.65,118.0,112.0,114.3,308510000.0,0.0022
2002-01-01,115.11,117.99,108.4,113.18,349870000.0,-0.0098
2002-02-01,113.09,113.3,107.82,111.15,424770000.0,-0.0179
2002-03-01,111.72,117.91,111.51,114.52,386620000.0,0.030299999999999997
2002-04-01,114.23,115.1,106.63,107.86,404640000.0,-0.0582
2002-05-01,107.97,111.25,104.9,107.22,453230000.0,-0.0059
2002-06-01,107.09,107.6,95.19,98.96,535840000.00000006,-0.077
2002-07-01,99.19,99.8,77.68,91.16,1130000000.0,-0.0788
2002-08-01,90.88,97.15,83.55,91.78,948090000.0,0.0068000000000000005
2002-09-01,90.73,93.33,80.01,81.79,1010000000.0,-0.10880000000000001
2002-10-01,82.44,91.29,77.07,88.52,1350000000.0,0.0823
2002-11-01,88.35,94.95,87.45,93.98,819430000.0,0.0617
2002-12-01,95.47,96.05,87.11,88.23,729200000.0,-0.061200000000000004
2003-01-01,88.85,93.86,84.15,86.06,919290000.0,-0.0246
2003-02-01,86.14,86.82,81.0,84.9,864060000.0,-0.013500000000000002
2003-03-01,85.26,89.88,79.38,84.74,1160000000.0,-0.0019
2003-04-01,85.25,92.8,84.91,91.91,999070000.0,0.08460000000000001
2003-05-01,91.92,97.09,90.5,96.95,884840000.0,0.0548
2003-06-01,97.53,102.18,96.67,97.63,871840000.0,0.006999999999999999
2003-07-01,97.25,101.9,96.43,99.39,921260000.0,0.018000000000000002
2003-08-01,99.19,101.82,96.34,101.44,777640000.0,0.0206
2003-09-01,101.64,104.7,99.25,99.95,821450000.0,-0.0147
2003-10-01,100.24,105.97,100.2,105.3,833830000.0,0.0535
2003-11-01,105.75,106.95,103.62,106.45,631420000.0,0.0109
2003-12-01,106.93,111.52,105.96,111.28,679270000.0,0.0454
2004-01-01,111.74,116.5,110.73,113.48,746620000.0,0.019799999999999998
2004-02-01,113.7,116.6,112.78,115.02,676310000.0,0.013600000000000001
2004-03-01,115.43,116.97,108.85,113.1,1130000000.0,-0.0167
2004-04-01,113.07,115.41,110.9,110.96,969260000.0,-0.0189
2004-05-01,111.37,113.26,108.06,112.86,984920000.0,0.0171
2004-06-01,112.46,114.94,111.87,114.53,726880000.0,0.0148
2004-07-01,114.25,114.4,108.21,110.84,956400000.0,-0.0322
2004-08-01,110.19,111.63,106.59,111.11,924660000.0,0.0024
2004-09-01,110.94,113.74,110.41,111.76,792690000.0,0.0059
2004-10-01,112.26,114.68,109.35,113.2,1050000000.0,0.0129
2004-11-01,113.56,119.14,113.2,117.89,964650000.0,0.0414
2004-12-01,118.16,121.66,117.73,120.87,911600000.0,0.0253
2005-01-01,121.56,121.76,116.37,118.16,1190000000.0,-0.022400000000000003
2005-02-01,118.25,121.67,118.1,120.63,1030000000.0,0.0209
2005-03-01,120.78,123.25,116.25,117.96,1340000000.0,-0.022099999999999998
2005-04-01,118.63,119.26,113.55,115.75,1670000000.0,-0.0187
2005-05-01,116.07,120.25,114.8,119.48,1350000000.0,0.0322
2005-06-01,119.52,121.94,118.75,119.18,1110000000.0,-0.0025
2005-07-01,119.45,124.64,118.26,123.74,1190000000.0,0.0383
2005-08-01,123.83,124.74,120.38,122.58,1320000000.0,-0.009399999999999999
2005-09-01,122.51,124.74,120.44,123.04,1290000000.0,0.0038
2005-10-01,122.96,123.34,116.88,120.13,1790000000.0,-0.023700000000000002
2005-11-01,120.58,127.41,120.13,125.41,1190000000.0,0.044000000000000004
2005-12-01,126.02,128.57,124.36,124.51,1070000000.0000001,-0.0072
2006-01-01,125.1,129.44,124.39,127.5,1230000000.0,0.024
2006-02-01,127.82,130.04,125.4,128.23,1150000000.0,0.005699999999999999
2006-03-01,128.6,131.47,127.18,129.83,1350000000.0,0.0125
2006-04-01,130.07,131.86,128.02,131.47,1300000000.0,0.0126
2006-05-01,131.47,132.8,124.76,127.51,1750000000.0,-0.0301
2006-06-01,127.38,129.43,122.34,127.23,2170000000.0,-0.0022
2006-07-01,127.43,128.14,122.39,127.85,1690000000.0,0.0049
2006-08-01,127.34,131.04,126.28,130.64,1420000000.0,0.0218
2006-09-01,131.14,133.99,129.35,133.58,1360000000.0,0.0225
2006-10-01,133.54,139.0,132.34,137.79,1450000000.0,0.0315
2006-11-01,138.22,141.16,135.62,140.53,1500000000.0,0.0199
2006-12-01,140.53,143.24,138.97,141.62,1210000000.0,0.0078000000000000005
2007-01-01,142.25,144.13,140.25,143.75,1350000000.0,0.015
2007-02-01,144.15,146.42,139.0,140.93,1500000000.0,-0.0196
2007-03-01,139.34,143.81,136.75,142.0,2920000000.0,0.0076
2007-04-01,142.16,149.8,140.89,148.29,1800000000.0,0.0443
2007-05-01,148.42,153.89,147.67,153.32,2520000000.0,0.0339
2007-06-01,153.88,154.4,148.06,150.43,3510000000.0,-0.018799999999999997
2007-07-01,150.87,156.0,145.04,145.72,3990000000.0,-0.0313
2007-08-01,145.18,150.59,137.0,147.59,6240000000.0,0.0128
2007-09-01,147.45,154.39,144.33,152.58,2970000000.0,0.0338
2007-10-01,152.6,157.52,148.0,154.65,3850000000.0,0.013600000000000001
2007-11-01,153.29,153.41,140.66,148.66,5470000000.0,-0.0387
2007-12-01,148.19,152.89,143.96,146.21,3290000000.0,-0.0165
2008-01-01,146.53,146.99,126.0,137.37,6110000000.0,-0.0605
2008-02-01,137.94,139.61,131.73,133.82,4150000000.0000005,-0.0258
2008-03-01,133.14,135.81,126.07,131.97,5470000000.0,-0.0138
2008-04-01,133.71,140.59,132.33,138.26,4010000000.0,0.04769999999999999
2008-05-01,138.39,144.3,137.52,140.35,3650000000.0,0.0151
2008-06-01,139.83,140.89,127.03,127.98,5410000000.0,-0.08810000000000001
2008-07-01,126.52,129.16,120.02,126.83,7160000000.0,-0.009000000000000001
2008-08-01,127.12,131.51,124.76,128.79,4340000000.0,0.0155
2008-09-01,130.03,130.71,110.53,115.99,8109999999.999999,-0.09939999999999999
2008-10-01,115.27,116.69,83.58,96.83,11890000000.0,-0.16519999999999999
2008-11-01,96.78,100.86,74.34,90.09,8770000000.0,-0.0696
2008-12-01,87.51,92.43,81.86,90.24,6930000000.0,0.0017000000000000001
2009-01-01,90.44,94.55,80.05,82.83,6880000000.0,-0.0821
2009-02-01,81.57,87.74,73.81,73.93,7280000000.0,-0.1074
2009-03-01,72.52,83.3,67.1,79.52,8810000000.0,0.0756
2009-04-01,78.53,89.02,78.33,87.42,6210000000.0,0.0993
2009-05-01,87.44,93.7,86.72,92.53,5200000000.0,0.058499999999999996
2009-06-01,93.67,96.11,87.53,91.95,5050000000.0,-0.0063
2009-07-01,92.34,99.83,87.0,98.81,4300000000.0,0.0746
2009-08-01,99.85,104.35,98.11,102.46,3960000000.0,0.0369
2009-09-01,101.95,108.06,99.57,105.59,3780000000.0,0.0305
2009-10-01,105.34,110.31,101.99,103.56,4480000000.0,-0.0192
